Area,BHK,Bathroom,Locality,Price
800,3,2,Rohini,6500000
750,2,2,Rohini,5000000
950,2,2,Rohini,15500000
600,2,2,Rohini,4200000
650,2,2,Rohini,6200000
1300,4,3,Rohini,15500000
1350,4,3,Rohini,10000000
650,2,2,Rohini,4000000
985,3,3,Rohini,6800000
1300,4,4,Rohini,15000000
1100,3,2,Rohini,6200000
870,3,2,Rohini,7700000
630,2,2,Rohini,5500000
660,2,2,Rohini,5000000
344.4448,2,2,Rohini,3310000
660,2,2,Rohini,4700000
550,2,2,Rohini,4500000
1100,4,3,Rohini,17000000
1150,3,3,Rohini,25000000
650,2,2,Rohini,6000000
850,2,2,Rohini,11000000
900,3,2,Rohini,4500000
430.556,1,1,Rohini,5300000
900,2,2,Rohini,10500000
914.9315,2,2,Rohini,12000000
1100,3,3,Rohini,7000000
800,3,2,Rohini,7000000
500,1,1,Rohini,3400000
28,2,2,Rohini,5000000
2160,4,4,Rohini,21000000
1500,1,2,Lajpat Nagar,13500000
800,2,2,Lajpat Nagar,15000000
900,2,2,Lajpat Nagar,10500000
1080,3,2,Lajpat Nagar,22500000
750,2,2,Lajpat Nagar,13600000
1450,3,3,Lajpat Nagar,30000000
900,2,2,Lajpat Nagar,13500000
810,2,2,Lajpat Nagar,8910000
1350,3,4,Lajpat Nagar,25000000
1710,3,3,Lajpat Nagar,26000000
1650,3,3,Lajpat Nagar,30000000
1280,2,2,Lajpat Nagar,12500000
1260,3,3,Lajpat Nagar,21000000
1130,2,2,Lajpat Nagar,7800000
600,2,2,Lajpat Nagar,11500000
850,2,2,Lajpat Nagar,11500000
1500,3,3,Lajpat Nagar,26000000
900,2,2,Lajpat Nagar,13000000
1000,3,3,Lajpat Nagar,22000000
900,2,2,Lajpat Nagar,15800000
2925,4,4,Lajpat Nagar,57500000
900,2,2,Lajpat Nagar,10000000
1600,3,3,Lajpat Nagar,30000000
1143,3,3,Lajpat Nagar,22000000
1150,3,3,Lajpat Nagar,24000000
1500,3,3,Lajpat Nagar,31500000
850,2,2,Lajpat Nagar,14600000
8000,4,5,Lajpat Nagar,240000000
890,2,2,Lajpat Nagar,8300000
1100,3,3,Lajpat Nagar,22500000
750,1,1,Dwarka,4600000
850,2,1,Dwarka,1900000
1350,3,2,Dwarka,5130000
1387,4,4,Dwarka,5890000
1050,3,2,Dwarka,3700000
1500,3,2,Dwarka,17400000
1200,3,3,Dwarka,15500000
700,2,1,Dwarka,2400000
